name,price,piece_count,url,price_per_piece,age_range
Police Speedboat and Crooks' Hideout,27.99,311,https://www.lego.com/en-us/product/police-speedboat-and-crooks-hideout-60417,0.09,6+
Wolverine Construction Figure,32.99,327,https://www.lego.com/en-us/product/tbd-lsh-14-2023-76257,0.101,8+
Jazz Quartet,99.99,1606,https://www.lego.com/en-us/product/jazz-quartet-21334,0.062,18+
Fire Rescue Motorcycle,7.99,57,https://www.lego.com/en-us/product/fire-rescue-motorcycle-60410,0.14,4+
LEGO® Education SPIKE™ Essential Set,329.95,449,https://www.lego.com/en-us/product/lego-education-spike-essential-set-45345,0.735,6+
Creative Space Planets,34.99,450,https://www.lego.com/en-us/product/creative-space-planets-11037,0.078,5+
The Enchanted Treehouse,159.99,1016,https://www.lego.com/en-us/product/tbd-disney-princess-5-2023-43215,0.157,7+
Cat Playground Adventure,8.79,87,https://www.lego.com/en-us/product/cat-playground-adventure-42612,0.101,5+
The Mandalorian's N-1 Starfighter™,59.99,412,https://www.lego.com/en-us/product/tbd-ip-lsw6-2022-75325,0.146,9+
Adorable Dogs,29.99,475,https://www.lego.com/en-us/product/adorable-dogs-31137,0.063,7+
Heart Box,19.99,80,https://www.lego.com/en-us/product/heart-box-10909,0.25,1½+
3in1 Family House,129.99,218,https://www.lego.com/en-us/product/3in1-family-house-10994,0.596,3+
Apartment Building,94.99,688,https://www.lego.com/en-us/product/apartment-building-60365,0.138,6+
Beach Camper Van,49.99,556,https://www.lego.com/en-us/product/beach-camper-van-31138,0.09,8+
New Republic E-Wing™ vs. Shin Hati’s Starfighter™,109.99,1056,https://www.lego.com/en-us/product/new-republic-e-wing-vs-shin-hati-s-starfighter-75364,0.104,9+
Beach Amusement Park,71.99,1348,https://www.lego.com/en-us/product/beach-amusement-park-41737,0.053,12+
Bugatti Bolide,49.99,905,https://www.lego.com/en-us/product/bugatti-bolide-42151,0.055,9+
Hogwarts™: Dumbledore’s Office,79.99,654,https://www.lego.com/en-us/product/tbd-hp-7-2022-76402,0.122,8+
Pirate Snub Fighter,20.99,285,https://www.lego.com/en-us/product/tdb-lsw-2023-3-75346,0.074,8+
Coding Express,259.95,234,https://www.lego.com/en-us/product/coding-express-45025,1.111,2-5
Endor™ Speeder Chase Diorama,79.99,608,https://www.lego.com/en-us/product/endor-speeder-chase-diorama-75353,0.132,18+
Minions' Music Party Bus,39.99,379,https://www.lego.com/en-us/product/minions-music-party-bus-75581,0.106,7+
Mirabel's Photo Frame and Jewelry Box,17.99,334,https://www.lego.com/en-us/product/mirabels-photo-frame-and-jewelry-box-43239,0.054,6+
3in1 Magical Castle,99.99,160,https://www.lego.com/en-us/product/3in1-magical-castle-10998,0.625,3+
Carousel Ride,19.96,232,https://www.lego.com/en-us/product/carousel-ride-40714,0.086,8+
Sonic the Hedgehog™ – Green Hill Zone,79.99,1125,https://www.lego.com/en-us/product/lego-ideas-sonic-the-hedgehog-green-hill-zone-21331,0.071,18+
Monkie Kid's Team Hideout,111.99,1582,https://www.lego.com/en-us/product/monkie-kids-team-hideout-80044,0.071,9+
Lots of Bricks,47.99,1000,https://www.lego.com/en-us/product/lots-of-bricks-11030,0.048,5+
Police Station Chase,31.99,172,https://www.lego.com/en-us/product/police-station-chase-60370,0.186,4+
Gabby's Kitty Care Ear,39.99,165,https://www.lego.com/en-us/product/gabbys-kitty-care-ear-10796,0.242,4+
Young Dragon Riyu,15.99,132,https://www.lego.com/en-us/product/young-dragon-riyu-71810,0.121,6+
Adventures with Interactive LEGO® Peach™,49.99,208,https://www.lego.com/en-us/product/adventures-with-interactive-lego-peach-71441,0.24,6+
The City of Lanterns,127.99,2187,https://www.lego.com/en-us/product/the-city-of-lanterns-80036,0.059,9+
Cinderella and Prince Charming's Castle,62.99,365,https://www.lego.com/en-us/product/cinderella-and-prince-charmings-castle-43206,0.173,5+
Ariel's Music Stage,15.99,60,https://www.lego.com/en-us/product/ariels-music-stage-43235,0.267,4+
LEGO® Education My XL World,309.95,480,https://www.lego.com/en-us/product/lego-education-my-xl-world-45028,0.646,2-6
Police Motorcycle,9.99,5,https://www.lego.com/en-us/product/police-motorcycle-10967,1.998,2+
Ariel's Magical Underwater Palace,79.99,116,https://www.lego.com/en-us/product/ariels-magical-underwater-palace-10435,0.69,2+
Cars and Trucks Brick Box,49.99,80,https://www.lego.com/en-us/product/cars-and-trucks-brick-box-10439,0.625,1½+
Creative Suitcase,19.99,213,https://www.lego.com/en-us/product/creative-suitcase-10713,0.094,4-99
Toruk Makto & Tree of Souls,119.99,1212,https://www.lego.com/en-us/product/tbd-pt-ip-4-2021-75574,0.099,12+
Heartlake City Preschool,39.99,239,https://www.lego.com/en-us/product/heartlake-city-preschool-42636,0.167,4+
Peppa Pig Birthday House,39.99,59,https://www.lego.com/en-us/product/peppa-pig-birthday-house-10433,0.678,2+
Peppa Pig Supermarket,69.99,70,https://www.lego.com/en-us/product/peppa-pig-supermarket-10434,1.0,2+
Hub,34.99,1,https://www.lego.com/en-us/product/hub-88009,34.99,7+
Peppa Pig Garden and Tree House,19.99,20,https://www.lego.com/en-us/product/peppa-pig-garden-and-tree-house-10431,0.999,2+
Caring for Animals at the Farm,49.99,74,https://www.lego.com/en-us/product/caring-for-animals-at-the-farm-10416,0.676,2+
Hogwarts™ Astronomy Tower,79.99,971,https://www.lego.com/en-us/product/hogwarts-astronomy-tower-75969,0.082,9+
Arin's Ninja Off-Road Buggy Car,49.99,267,https://www.lego.com/en-us/product/arins-ninja-off-road-buggy-car-71811,0.187,7+
Alphabet Truck,39.99,36,https://www.lego.com/en-us/product/alphabet-truck-10421,1.111,2+
Peppa Pig Boat Trip,29.99,23,https://www.lego.com/en-us/product/peppa-pig-boat-trip-10432,1.304,2+
Play with Braille – Spanish Alphabet,89.99,287,https://www.lego.com/en-us/product/play-with-braille--spanish-alphabet-40724,0.314,6+
Peach’s Castle Expansion Set,103.99,1216,https://www.lego.com/en-us/product/tbd-leaf-13-2022-71408,0.086,8+
LEGO® Education SPIKE™ Prime Expansion Set,156.95,604,https://www.lego.com/en-us/product/lego-education-spike-prime-expansion-set-45681,0.26,10+
Off-Road Race Buggy,19.99,219,https://www.lego.com/en-us/product/off-road-race-buggy-42164,0.091,8+
Kai's Source Dragon Battle,37.99,120,https://www.lego.com/en-us/product/kais-source-dragon-battle-71815,0.317,4+
3in1 Space Shuttle Adventure,59.99,58,https://www.lego.com/en-us/product/3in1-space-shuttle-adventure-10422,1.034,3+
Daisy Duck,5.99,110,https://www.lego.com/en-us/product/daisy-duck-40476,0.054,10+
Zoey and Zian the Cat-Owl,34.99,437,https://www.lego.com/en-us/product/zoey-and-zian-the-cat-owl-71476,0.08,9+
Caring for Bees & Beehives,19.99,22,https://www.lego.com/en-us/product/caring-for-bees--beehives-10419,0.909,2+
Karaoke Music Party,19.99,196,https://www.lego.com/en-us/product/karaoke-music-party-42610,0.102,6+
Elsa & Bruni in the Enchanted Forest,29.99,31,https://www.lego.com/en-us/product/elsa--bruni-in-the-enchanted-forest-10418,0.967,2+
Monkie Kid's Mini Mech,54.99,556,https://www.lego.com/en-us/product/monkie-kids-mini-mech-80051,0.099,8+
Buildable People with Big Emotions,49.99,71,https://www.lego.com/en-us/product/buildable-people-with-big-emotions-10423,0.704,3+
Vibrant Creative Brick Box,59.99,850,https://www.lego.com/en-us/product/vibrant-creative-brick-box-11038,0.071,4+
Animal Train,19.99,19,https://www.lego.com/en-us/product/animal-train-10412,1.052,1½+
Tiny Accessories Store,8.79,129,https://www.lego.com/en-us/product/tiny-accessories-store-42608,0.068,6+
Daily Routines: Eating & Bedtime,29.99,28,https://www.lego.com/en-us/product/daily-routines-eating--bedtime-10414,1.071,1½+
Mickey & Minnie Birthday Train,29.99,22,https://www.lego.com/en-us/product/mickey--minnie-birthday-train-10941,1.363,2+
Rapunzel's Tower & The Snuggly Duckling,67.99,623,https://www.lego.com/en-us/product/rapunzels-tower--the-snuggly-duckling-43241,0.109,6+
Big Feelings & Emotions,29.99,23,https://www.lego.com/en-us/product/big-feelings--emotions-10415,1.304,1½+
Mr. Oz's Space Car,23.99,350,https://www.lego.com/en-us/product/mr-ozs-space-car-71475,0.069,8+
Belle's Storytime Horse Carriage,11.19,62,https://www.lego.com/en-us/product/belles-storytime-horse-carriage-43233,0.18,5+
